epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,246.291,0.77339,0.89227,1.26964,0.9313,0.93904,0.94497,0.83495,0.53239,0.63439,1.11187,0.00628101,0.00628101,0.00628101
44,247.651,0.75922,0.83874,1.25406,0.96839,0.97218,0.995,0.87671,0.50803,0.49418,1.09452,0.00612981,0.00612981,0.00612981
45,248.972,0.77629,0.85093,1.28847,0.97379,0.99602,0.995,0.88505,0.46738,0.42834,1.05363,0.00597754,0.00597754,0.00597754
46,250.334,0.75861,0.87788,1.26968,0.9921,1,0.995,0.87286,0.52352,0.42119,1.11358,0.00582435,0.00582435,0.00582435
47,251.717,0.66699,0.76229,1.19088,0.99523,1,0.995,0.91793,0.4692,0.41378,1.03594,0.0056704,0.0056704,0.0056704
48,253.088,0.7289,0.82175,1.25417,0.99251,1,0.995,0.89851,0.47537,0.46961,1.08003,0.00551584,0.00551584,0.00551584
49,254.447,0.64345,0.73975,1.18645,0.99431,1,0.995,0.85837,0.5458,0.44685,1.10928,0.00536081,0.00536081,0.00536081
50,255.834,0.68631,0.79044,1.22497,0.93987,0.9944,0.995,0.87688,0.54806,0.48392,1.12752,0.00520548,0.00520548,0.00520548
51,257.191,0.66585,0.74362,1.19012,0.85478,0.99092,0.98271,0.86846,0.52102,0.55399,1.11827,0.00505,0.00505,0.00505
52,258.554,0.77162,0.8052,1.26931,0.96918,0.96667,0.99147,0.88745,0.49671,0.48178,1.0888,0.00489452,0.00489452,0.00489452
53,259.913,0.71668,0.76048,1.23039,0.92354,1,0.995,0.8706,0.5335,0.51458,1.08825,0.00473919,0.00473919,0.00473919
54,261.354,0.80347,0.8251,1.28172,0.97276,1,0.995,0.88482,0.57956,0.4956,1.10036,0.00458416,0.00458416,0.00458416
55,262.707,0.66703,0.73261,1.14738,0.94427,1,0.995,0.90198,0.51838,0.4714,1.05094,0.0044296,0.0044296,0.0044296
56,264.099,0.70559,0.77885,1.20286,0.96963,1,0.995,0.88368,0.54927,0.4216,1.0838,0.00427565,0.00427565,0.00427565
57,265.439,0.68454,0.74132,1.17009,0.9772,1,0.995,0.91514,0.4913,0.42451,1.04475,0.00412246,0.00412246,0.00412246
58,266.836,0.67353,0.78433,1.22289,0.98573,1,0.995,0.90053,0.47898,0.38084,1.02697,0.00397019,0.00397019,0.00397019
59,268.2,0.72815,0.78947,1.21764,0.98588,1,0.995,0.89279,0.53524,0.39462,1.05731,0.00381899,0.00381899,0.00381899
60,269.601,0.67321,0.76011,1.19582,0.95317,0.99166,0.995,0.91033,0.51923,0.42312,1.04821,0.00366899,0.00366899,0.00366899
61,271.019,0.71126,0.78945,1.25204,0.9798,1,0.995,0.874,0.54578,0.41746,1.06721,0.00352037,0.00352037,0.00352037
62,272.384,0.60689,0.71104,1.1512,0.98718,1,0.995,0.88864,0.49396,0.40732,1.03161,0.00337325,0.00337325,0.00337325
63,273.754,0.67258,0.74159,1.18495,0.98755,1,0.995,0.90132,0.48618,0.3916,1.04793,0.00322778,0.00322778,0.00322778
64,275.158,0.65529,0.71109,1.13348,0.98668,1,0.995,0.90466,0.49889,0.38882,1.06069,0.00308412,0.00308412,0.00308412
65,276.56,0.66824,0.66787,1.16156,0.99288,1,0.995,0.89398,0.52545,0.39045,1.06519,0.00294239,0.00294239,0.00294239
66,277.949,0.67563,0.73198,1.19426,0.98556,0.99935,0.995,0.88936,0.53409,0.42448,1.06618,0.00280275,0.00280275,0.00280275
67,279.346,0.65377,0.71523,1.15809,0.99507,1,0.995,0.87452,0.59503,0.42424,1.10594,0.00266532,0.00266532,0.00266532
